a 
à 
ao 
aos 
aquela 
aquelas 
aquele 
aqueles 
aquilo 
as 
às 
até 
com 
como 
como 
das 
de 
dela 
delas 
dele 
deles 
depois 
do 
dos 
e 
é 
ela 
elas 
ele 
eles 
em 
entre 
era
era 
eram
éramos
essa 
essas 
esse 
esses 
está
esta 
está 
estamos
estão
estão 
estas 
estava
estavam
estávamos
este 
esteja
estejam
estejamos
estes 
esteve
estive
estivemos
estiver
estivera
estiveram
estivéramos
estiverem
estivermos
estivesse
estivessem
estivéssemos
estou
eu 
foi
foi 
fomos
for
fora
foram
foram 
fôramos
forem
formos
fosse
fosse 
fossem
fôssemos
fui
há
há 
haja
hajam
hajamos
hão
havemos
havia 
hei
houve
houvemos
houver
houvera
houverá
houveram
houvéramos
houverão
houverei
houverem
houveremos
houveria
houveriam
houveríamos
houvermos
houvesse
houvessem
houvéssemos
isso 
isto 
já 
lhe 
lhes 
mais 
mas 
me 
mesmo 
meu 
meus 
minha 
minhas
muito 
na 
não 
nas 
nem 
no 
nos 
nós 
nossa
nossas
nosso 
nossos
num 
numa 
o 
os 
ou 
para 
pela 
pelas 
pelo 
pelos 
por 
pra
qual 
quando 
que 
quem 
são
se 
seja
seja 
sejam
sejamos
sem 
ser 
será
será 
serão
serei
seremos
seria
seriam
seríamos
seu 
seus 
só 
somos
sou
sua 
suas 
também 
te 
tem
tém
tem 
têm 
temos
tenha
tenham
tenhamos
tenho
tenho 
ter 
terá
terão
terei
teremos
teria
teriam
teríamos
teu 
teus
teve
tinha
tinha 
tinham
tínhamos
tive
tivemos
tiver
tivera
tiveram
tivéramos
tiverem
tivermos
tivesse
tivessem
tivéssemos
tu 
tua
tuas
um 
uma 
você 
vocês 
vos 
